Nome,Data de Nascimento,CPF,Profissões
Luiz Fernando das Neves,29/06/1994,572.893.461-73,[arquiteto]
Yasmin da Cruz,25/10/1996,341.597.802-88,[eletricista]
Luiza Castro,23/10/1982,743.180.562-44,[assistente administrativo]
Sr. Davi Santos,04/09/1956,156.049.723-80,"[engenheiro civil, pintor]"
Emanuella Mendes,04/09/1978,084.157.923-79,"[eletricista, marceneiro, encanador]"
Yasmin Ramos,06/12/2005,198.640.532-05,[arquiteto]
João Guilherme da Cruz,25/01/2004,478.501.296-01,"[assistente administrativo, eletricista]"
Eduardo Pires,17/10/1982,037.264.198-96,"[arquiteto, marceneiro, assistente administrativo]"
Dr. João Guilherme Farias,26/10/1964,863.175.492-73,"[encanador, assistente administrativo, arquiteto]"
Leonardo da Conceição,29/11/2006,081.925.367-77,"[encanador, pintor, carpinteiro]"
João Vitor Azevedo,05/06/1999,204.367.951-16,[marceneiro]
Sr. Guilherme Souza,15/01/1996,267.514.398-73,[encanador]
Juliana da Paz,08/01/1975,105.379.286-77,"[engenheiro civil, pedreiro]"
Maria Clara Lima,23/12/1989,520.749.861-49,"[carpinteiro, técnico em segurança do trabalho, eletricista]"
Sra. Lívia Correia,24/04/2004,054.872.936-00,"[eletricista, técnico em segurança do trabalho, engenheiro civil]"
Fernanda Almeida,04/05/1985,538.269.147-91,"[pedreiro, eletricista, técnico em segurança do trabalho]"
Sarah Farias,30/08/1961,583.627.041-44,[carpinteiro]
Ana Júlia Carvalho,25/09/1958,627.130.859-77,[técnico em segurança do trabalho]
Maria Eduarda Silveira,02/07/2007,647.539.821-73,"[técnico em segurança do trabalho, encanador]"
Danilo Santos,25/02/1963,792.546.083-00,[pintor]
Lorena Azevedo,20/04/2005,285.043.671-26,"[assistente administrativo, pintor, arquiteto]"
Evelyn Barbosa,28/01/1990,215.967.480-01,"[pintor, pedreiro, assistente administrativo]"
Danilo Peixoto,24/10/1957,493.157.086-01,"[arquiteto, encanador]"
Augusto Peixoto,31/03/1987,947.235.108-50,[pintor]
Natália Porto,21/08/1964,516.387.240-08,[técnico em segurança do trabalho]
Laura Freitas,16/06/1998,120.458.763-90,[eletricista]
Pedro Henrique Viana,03/10/1993,083.674.952-92,"[engenheiro civil, assistente administrativo]"
Guilherme da Rocha,12/03/1971,971.645.280-20,[carpinteiro]
Alexia Mendes,29/03/1984,260.849.317-31,"[pedreiro, encanador]"
Caio Viana,11/12/1965,428.701.695-58,[assistente administrativo]
Paulo Martins,07/11/1966,094.382.167-31,"[encanador, pintor]"
João Miguel Costa,12/01/1958,398.745.601-93,[assistente administrativo]
Ian Rezende,21/02/1992,617.038.945-10,"[arquiteto, técnico em segurança do trabalho]"
Vitor Hugo Costela,26/03/1975,967.054.183-20,"[eletricista, técnico em segurança do trabalho]"
Bárbara Farias,30/01/1991,687.093.245-00,[marceneiro]
Benício Rocha,05/02/1973,946.251.703-70,"[arquiteto, técnico em segurança do trabalho]"
Dra. Maria Fernanda Campos,17/12/1974,169.874.250-94,[engenheiro civil]
Lívia Lopes,01/12/2000,547.216.809-02,"[pintor, carpinteiro, arquiteto]"
Helena Aragão,31/07/2001,207.861.394-04,"[técnico em segurança do trabalho, encanador]"
Maria Alice Cardoso,03/09/1998,180.653.792-30,"[arquiteto, carpinteiro]"
Isabella Nogueira,23/07/1966,017.283.946-78,[pedreiro]
Rodrigo Moraes,15/07/1967,143.972.068-13,[eletricista]
Dra. Maria da Rocha,27/12/1954,361.824.905-51,"[pintor, pedreiro, encanador]"
Sarah da Luz,13/12/1958,921.784.653-82,[pedreiro]
Renan Aragão,29/08/2001,847.036.215-17,[encanador]
Cauã Silveira,03/04/1986,750.819.263-02,"[engenheiro civil, pintor, eletricista]"
Sr. João Vitor da Mota,12/04/1977,103.578.942-60,[pedreiro]
Dr. Bernardo Castro,25/05/1956,760.452.893-74,"[técnico em segurança do trabalho, arquiteto, eletricista]"
Eduarda Mendes,16/03/1958,583.049.761-10,"[encanador, marceneiro, assistente administrativo]"
Ana Vitória Cardoso,19/08/1958,065.879.143-57,[pedreiro]
Heitor Pinto,24/12/1958,108.235.769-30,"[pintor, arquiteto]"
Noah Alves,10/05/1985,679.480.235-00,"[assistente administrativo, engenheiro civil]"
Manuela Melo,03/07/1994,318.046.725-80,"[arquiteto, pedreiro, carpinteiro]"
Maitê Fernandes,08/09/1978,678.195.032-03,[carpinteiro]
Nathan Pinto,02/06/1989,542.137.869-19,[pintor]
Luiz Henrique da Conceição,27/05/1958,380.921.457-41,"[arquiteto, técnico em segurança do trabalho]"
Joaquim da Mota,13/12/1999,795.648.231-37,[encanador]
Helena da Cruz,21/08/1961,709.186.435-20,"[assistente administrativo, pintor, arquiteto]"
Lucca Melo,11/11/2004,639.102.587-86,[pedreiro]
Matheus Correia,11/03/1964,473.592.086-29,"[eletricista, pintor, técnico em segurança do trabalho]"
Gustavo Henrique da Luz,26/05/1969,425.691.708-01,"[encanador, eletricista, técnico em segurança do trabalho]"
Francisco Castro,06/12/1955,261.978.305-40,[pintor]
Sr. Luiz Miguel Pinto,18/11/2002,192.865.374-09,"[marceneiro, pedreiro]"
Dr. Pedro Miguel Farias,24/08/1957,934.612.508-05,"[eletricista, carpinteiro, técnico em segurança do trabalho]"
Luiz Gustavo Rodrigues,27/09/1968,179.843.265-09,"[encanador, engenheiro civil]"
Igor Moura,05/04/1990,798.243.056-29,"[carpinteiro, técnico em segurança do trabalho, assistente administrativo]"
Levi Duarte,11/06/1981,346.981.250-06,"[encanador, pedreiro, assistente administrativo]"
Vitor Gabriel Cardoso,31/07/1974,785.140.326-07,"[engenheiro civil, carpinteiro, marceneiro]"
Lavínia Rezende,07/12/1983,657.293.041-61,[carpinteiro]
Francisco Cardoso,09/12/1978,149.627.035-52,"[pintor, pedreiro]"
Sr. Marcelo da Paz,19/03/1977,354.286.170-71,[pedreiro]
Dra. Maria Cecília Ferreira,31/01/1955,495.637.018-01,"[engenheiro civil, pedreiro, técnico em segurança do trabalho]"
Daniela Dias,22/09/2003,379.465.821-37,"[carpinteiro, assistente administrativo, engenheiro civil]"
Sr. Ian da Mota,06/09/1983,637.840.259-00,"[pintor, técnico em segurança do trabalho, pedreiro]"
Vicente Alves,06/07/1988,593.768.210-68,"[assistente administrativo, técnico em segurança do trabalho]"
Valentina Azevedo,21/12/1963,256.317.098-21,"[pintor, arquiteto, encanador]"
Lucas Cavalcanti,17/11/1976,974.016.583-48,"[eletricista, técnico em segurança do trabalho, engenheiro civil]"
Diego da Paz,26/03/1959,643.128.097-04,[eletricista]
Sr. Davi Luiz Martins,18/06/1982,621.743.580-26,"[eletricista, engenheiro civil, encanador]"
Cecília Costela,01/07/1968,467.195.230-07,"[engenheiro civil, técnico em segurança do trabalho]"
Raquel Ramos,31/03/1973,302.986.174-04,"[técnico em segurança do trabalho, pintor]"
Luiza Ramos,27/12/1985,901.253.647-25,"[eletricista, encanador, marceneiro]"
Mariana da Luz,30/09/1982,326.971.045-34,"[arquiteto, pedreiro, encanador]"
Davi Lucca Freitas,30/03/1997,841.567.390-66,"[assistente administrativo, eletricista]"
Sr. Vitor Gabriel Cavalcanti,28/10/1988,567.128.043-53,[eletricista]
Pedro Miguel Rezende,09/06/1980,563.709.248-65,"[marceneiro, pintor, técnico em segurança do trabalho]"
Dr. Luigi Rezende,23/02/1959,183.579.640-01,"[eletricista, técnico em segurança do trabalho, engenheiro civil]"
Anthony Castro,25/07/1966,416.805.297-49,[arquiteto]
Sr. Enrico Azevedo,09/06/2000,837.504.612-44,"[arquiteto, eletricista]"
Ana Beatriz Almeida,24/10/1957,638.215.074-62,[marceneiro]
André Mendes,30/07/1967,139.657.408-57,"[encanador, engenheiro civil, arquiteto]"
Ana Lívia Martins,17/06/1976,839.475.062-10,[arquiteto]
João Gabriel Martins,26/04/1966,065.931.782-68,[engenheiro civil]
Emilly Moura,29/06/1957,136.248.075-44,[marceneiro]
Caio Martins,07/06/1997,625.178.309-59,"[pintor, técnico em segurança do trabalho]"
Otávio Porto,09/07/1980,830.174.569-00,[assistente administrativo]
Sra. Sophia Farias,04/09/1996,102.736.985-59,[arquiteto]
Pedro Azevedo,14/09/1970,975.128.046-01,[pedreiro]
Esther Araújo,01/02/1970,593.140.628-05,"[técnico em segurança do trabalho, encanador, engenheiro civil]"
Isis Silveira,22/05/1976,270.836.149-03,"[pintor, eletricista]"
Cauê Carvalho,27/04/1966,983.140.726-13,"[carpinteiro, marceneiro, engenheiro civil]"
Davi Luiz da Paz,03/03/1971,623.894.750-00,"[carpinteiro, assistente administrativo, pedreiro]"
Yuri Rocha,12/12/1959,568.139.427-19,[carpinteiro]
Lucca Aragão,08/05/2006,691.824.750-67,"[técnico em segurança do trabalho, assistente administrativo]"
João Miguel Rezende,25/04/1975,746.893.015-57,"[eletricista, carpinteiro, arquiteto]"
Sra. Catarina da Costa,29/05/1967,095.367.421-52,"[encanador, marceneiro]"
Luiza Lima,15/02/1998,916.073.854-57,"[eletricista, técnico em segurança do trabalho]"
Vitor Monteiro,07/03/1989,750.836.194-66,"[arquiteto, encanador, técnico em segurança do trabalho]"
João Guilherme Araújo,18/12/2001,247.519.680-76,[arquiteto]
Carlos Eduardo Carvalho,09/05/1998,691.473.582-46,"[eletricista, engenheiro civil]"
Sra. Lívia Teixeira,24/04/1999,649.750.821-01,[pintor]
Gabriel da Rocha,03/06/2005,640.137.859-00,[técnico em segurança do trabalho]
Kamilly Gomes,20/05/2004,628.715.430-62,"[eletricista, assistente administrativo, carpinteiro]"
Ana Sophia Porto,03/02/1993,329.051.478-14,"[pintor, eletricista, engenheiro civil]"
Marina Cavalcanti,23/10/1997,214.036.978-50,[encanador]
Nathan Duarte,09/01/1987,710.926.435-16,"[pedreiro, encanador, pintor]"
Vitória Almeida,25/01/1980,984.362.517-09,[pedreiro]
Heloísa Lopes,22/10/1970,568.402.793-83,"[marceneiro, assistente administrativo, arquiteto]"
Pietra Nunes,08/11/2003,201.649.735-16,"[pintor, engenheiro civil]"
Nina Ribeiro,17/07/1989,630.527.941-16,[eletricista]
Laura Dias,17/10/1995,761.235.089-03,"[engenheiro civil, técnico em segurança do trabalho]"
Otávio da Mota,13/12/2002,280.137.956-59,"[pintor, eletricista]"
Levi Correia,25/04/1987,839.160.457-84,"[encanador, carpinteiro, eletricista]"
Igor Nogueira,25/08/2006,439.580.126-98,"[pintor, engenheiro civil, carpinteiro]"
Ryan Melo,24/09/1969,915.376.402-16,"[marceneiro, técnico em segurança do trabalho, eletricista]"
Carlos Eduardo Gonçalves,20/06/1960,195.748.026-20,[pedreiro]
Ian Nascimento,05/10/1993,049.861.352-60,"[arquiteto, eletricista, marceneiro]"
Sr. Luiz Henrique das Neves,03/10/1961,607.219.534-25,"[eletricista, pintor, engenheiro civil]"
Noah Gomes,05/06/1964,054.789.231-41,[assistente administrativo]
Clara Sales,04/05/1974,605.179.428-01,"[assistente administrativo, técnico em segurança do trabalho]"
Luigi Novaes,09/11/1974,206.935.714-70,"[encanador, pintor, pedreiro]"
Luiz Miguel Gomes,19/09/1973,386.012.745-44,"[arquiteto, técnico em segurança do trabalho, engenheiro civil]"
Milena da Cruz,11/10/1993,278.915.460-02,[encanador]
Dra. Alana Moreira,26/11/2003,912.368.054-70,[arquiteto]
Camila Barros,27/06/1962,856.193.702-59,"[arquiteto, pintor]"
João Vitor Rodrigues,06/02/1975,926.750.381-21,[encanador]
Pedro Lucas Pires,01/07/1979,018.963.754-48,[carpinteiro]
Ryan Castro,06/11/1994,267.583.940-00,"[arquiteto, engenheiro civil, assistente administrativo]"
Igor Campos,27/01/2003,826.750.391-95,[pintor]
Luiz Henrique Teixeira,27/01/2003,139.746.025-34,"[técnico em segurança do trabalho, marceneiro, engenheiro civil]"
Sr. Augusto Costela,20/08/1993,321.480.697-13,"[encanador, técnico em segurança do trabalho, marceneiro]"
Sr. Kevin Almeida,27/05/1971,409.573.126-52,"[técnico em segurança do trabalho, carpinteiro, encanador]"
Sra. Manuela Moraes,02/10/1995,893.506.142-51,[arquiteto]
Heitor da Rosa,20/08/1963,983.425.167-09,"[técnico em segurança do trabalho, carpinteiro]"
Marcos Vinicius Fernandes,29/03/1972,629.308.745-38,"[técnico em segurança do trabalho, eletricista, carpinteiro]"
Cecília Cardoso,06/05/1997,435.976.180-57,"[eletricista, carpinteiro]"
Dr. João Miguel Araújo,30/07/1995,314.076.958-00,"[engenheiro civil, marceneiro, carpinteiro]"
Ana Laura Moreira,13/03/1977,423.805.791-05,"[pintor, marceneiro]"
Yuri Costa,17/06/1966,847.092.531-88,"[carpinteiro, marceneiro, técnico em segurança do trabalho]"
Ana Luiza Barros,13/02/1966,562.794.310-61,[eletricista]
André Silva,14/01/2003,298.347.051-23,"[assistente administrativo, encanador]"
Srta. Nicole Peixoto,07/08/2002,729.834.615-64,"[pedreiro, pintor, encanador]"
Raquel Dias,09/04/1975,146.720.835-35,"[pedreiro, encanador]"
Davi Luiz Caldeira,04/04/1960,487.603.192-40,[arquiteto]
Nina Teixeira,28/12/2001,160.497.325-07,[pintor]
Vicente Souza,19/01/2001,907.154.682-94,[assistente administrativo]
Sr. Luiz Gustavo Moraes,19/12/1957,679.120.534-25,"[pedreiro, arquiteto, assistente administrativo]"
Stella Costa,29/03/1974,479.210.385-14,"[engenheiro civil, carpinteiro, arquiteto]"
Maitê Azevedo,05/01/1986,970.284.316-22,"[técnico em segurança do trabalho, arquiteto]"
Sr. Alexandre Monteiro,31/08/2003,265.083.479-00,"[arquiteto, pedreiro]"
Maitê da Costa,14/06/1982,170.952.634-34,[engenheiro civil]
Dr. João Guilherme Pereira,25/11/1966,841.356.709-20,"[pintor, assistente administrativo]"
Sra. Agatha Moraes,06/10/2002,319.208.746-31,"[engenheiro civil, marceneiro]"
Davi Lucca da Paz,12/02/1987,416.397.852-64,[pedreiro]
Rebeca Nogueira,12/06/1963,190.862.743-31,"[carpinteiro, engenheiro civil, arquiteto]"
Renan Mendes,28/09/1983,906.325.781-30,[marceneiro]
Pedro Henrique da Costa,16/02/2004,823.906.147-87,"[carpinteiro, técnico em segurança do trabalho, encanador]"
Lucas Cavalcanti,20/03/2002,823.641.509-06,[carpinteiro]
Alícia Freitas,31/07/1967,260.417.859-11,"[técnico em segurança do trabalho, engenheiro civil]"
Gabriela Dias,05/08/1969,567.043.819-10,"[engenheiro civil, carpinteiro, assistente administrativo]"
João Guilherme Freitas,22/05/1978,635.019.487-00,"[eletricista, engenheiro civil, pintor]"
Gustavo Henrique Ribeiro,26/07/1973,916.823.574-73,"[encanador, pintor, engenheiro civil]"
Caio Alves,23/12/2000,825.976.401-67,"[assistente administrativo, arquiteto]"
Nathan Nogueira,09/06/1960,129.047.583-05,[pedreiro]
Breno Viana,16/08/1996,547.618.902-58,"[eletricista, carpinteiro]"
Kaique Vieira,04/12/2002,485.230.791-14,"[encanador, assistente administrativo, pedreiro]"
Marcela Santos,28/12/1955,249.708.563-38,"[técnico em segurança do trabalho, carpinteiro, pintor]"
Sra. Luna Teixeira,11/06/1989,127.643.598-37,"[pedreiro, arquiteto, pintor]"
Diego Almeida,22/05/1965,930.648.217-50,"[pedreiro, encanador, assistente administrativo]"
Thales Fogaça,28/01/1992,123.049.867-22,"[pedreiro, assistente administrativo]"
Daniel Fogaça,03/01/1958,391.052.476-16,"[técnico em segurança do trabalho, engenheiro civil, arquiteto]"
Dra. Emanuella Cunha,16/04/1982,945.076.281-30,"[assistente administrativo, técnico em segurança do trabalho]"
Fernando Aragão,26/01/1991,916.524.830-98,[arquiteto]
Dr. Emanuel Novaes,03/02/1965,736.218.054-35,"[pedreiro, arquiteto]"
Carolina da Luz,10/05/1967,972.580.643-38,"[assistente administrativo, pedreiro, engenheiro civil]"
Nina da Mota,25/03/1959,216.835.094-98,"[engenheiro civil, pintor]"
Srta. Maria Castro,20/03/1980,601.985.742-58,"[marceneiro, técnico em segurança do trabalho, pintor]"
Danilo Alves,21/02/1955,185.670.943-48,[arquiteto]
Laura da Cruz,03/06/1975,572.104.839-50,"[engenheiro civil, carpinteiro, eletricista]"
Augusto Cavalcanti,26/07/1991,416.807.539-75,"[encanador, carpinteiro]"
Bianca Moraes,06/02/1999,436.570.892-92,[engenheiro civil]
Calebe Gomes,25/10/1978,159.208.743-41,"[arquiteto, engenheiro civil, técnico em segurança do trabalho]"
Helena da Mata,26/09/2000,624.785.019-02,[pintor]
Isadora Ferreira,27/11/2002,102.659.784-67,"[carpinteiro, engenheiro civil]"
Rebeca Rocha,31/01/1959,164.902.853-98,[marceneiro]
Dr. Luiz Felipe Pereira,03/04/1987,652.981.347-00,"[técnico em segurança do trabalho, engenheiro civil, arquiteto]"
Maria Alice Sales,26/09/1990,836.049.127-50,"[engenheiro civil, arquiteto]"
João Guilherme Almeida,02/05/1968,057.198.264-67,"[eletricista, pedreiro]"
Lorenzo da Conceição,12/01/1992,638.910.542-89,"[arquiteto, pintor]"
Sabrina Araújo,15/11/2001,650.874.913-75,"[eletricista, pintor]"
Danilo Moreira,12/02/1964,139.048.765-20,"[técnico em segurança do trabalho, encanador, marceneiro]"
Srta. Sofia Souza,14/01/2002,476.523.019-80,"[técnico em segurança do trabalho, pintor, engenheiro civil]"
Benício Azevedo,13/08/1995,289.035.471-79,"[pintor, pedreiro]"
Lívia Lima,10/10/2002,362.704.958-65,[encanador]
Mariane Caldeira,25/05/1969,621.953.478-64,[assistente administrativo]
Bárbara Barros,13/10/1979,634.095.281-05,[eletricista]
Erick Gomes,30/07/1965,819.740.253-14,"[encanador, pedreiro, eletricista]"
Alícia Duarte,26/10/1972,107.862.593-02,[engenheiro civil]
Dr. João Vitor Santos,06/10/1967,569.170.284-01,"[engenheiro civil, pedreiro]"
Stephany da Costa,11/02/1956,967.402.153-16,"[engenheiro civil, técnico em segurança do trabalho, pintor]"
Pedro Lucas Carvalho,24/05/2003,392.651.740-99,"[técnico em segurança do trabalho, encanador]"
Dr. João Guilherme Pinto,23/03/1957,638.490.127-78,"[assistente administrativo, pintor]"
André da Conceição,25/08/2006,481.306.257-17,[assistente administrativo]
Bernardo Freitas,25/09/1993,591.073.284-60,"[arquiteto, técnico em segurança do trabalho, assistente administrativo]"
Milena Cunha,09/12/1962,970.263.458-00,"[carpinteiro, arquiteto, encanador]"
Isabelly Silva,03/01/1997,591.834.670-84,[carpinteiro]
Melissa Caldeira,05/12/2004,380.172.956-77,[pedreiro]
Enzo Gabriel Nogueira,16/12/1985,157.384.602-35,[engenheiro civil]
Thomas Cavalcanti,07/07/1981,639.207.481-31,[assistente administrativo]
Samuel Ribeiro,13/04/1962,470.913.528-23,[engenheiro civil]
Sr. Noah Nascimento,30/09/1958,567.108.924-76,"[técnico em segurança do trabalho, pintor, carpinteiro]"
Fernando da Luz,10/03/1960,214.309.685-24,"[encanador, técnico em segurança do trabalho, arquiteto]"
Emanuella da Mata,27/02/1958,165.829.437-82,[carpinteiro]
Lorena Teixeira,17/05/2001,265.743.098-83,"[arquiteto, pedreiro, carpinteiro]"
Thiago da Conceição,13/07/1976,502.316.789-59,[arquiteto]
Luiz Henrique Almeida,28/02/1985,271.085.396-59,"[eletricista, arquiteto, encanador]"
Isis da Rosa,10/03/1978,390.267.514-43,[arquiteto]
Sra. Milena Ramos,05/09/1982,658.943.207-47,"[pedreiro, assistente administrativo, marceneiro]"
Lara Moura,16/07/1966,826.397.540-92,[arquiteto]
Calebe Carvalho,16/09/1998,061.354.927-99,[engenheiro civil]
Maria Luiza Azevedo,10/12/1999,463.179.502-61,[encanador]
Ana Vitória Monteiro,27/01/1986,690.214.853-89,"[eletricista, pintor, encanador]"
Kaique Duarte,14/10/1954,608.712.459-49,"[marceneiro, pintor]"
Larissa Duarte,26/04/1992,639.704.851-93,"[técnico em segurança do trabalho, engenheiro civil]"
Srta. Juliana Lopes,13/09/1989,263.051.894-98,"[engenheiro civil, eletricista, marceneiro]"
Emanuella Vieira,29/04/1965,531.068.924-98,"[carpinteiro, marceneiro, pedreiro]"
Pedro Henrique Viana,11/11/1959,960.581.324-60,"[pedreiro, arquiteto]"
Erick das Neves,16/09/1974,389.572.016-02,"[carpinteiro, encanador]"
Pedro Lucas Aragão,11/12/1997,918.340.567-48,"[assistente administrativo, marceneiro, técnico em segurança do trabalho]"
Diego Carvalho,08/10/1959,753.906.814-01,"[pintor, marceneiro]"
Marina Cardoso,23/10/1968,695.731.480-48,"[carpinteiro, engenheiro civil, arquiteto]"
Rafael Azevedo,24/06/1962,597.468.031-66,"[encanador, técnico em segurança do trabalho, eletricista]"
Diogo Araújo,22/12/1990,082.179.643-78,[marceneiro]
Enzo Gabriel Cardoso,10/01/2004,248.310.965-98,"[eletricista, arquiteto, carpinteiro]"
Sofia Sales,05/03/1984,863.215.940-24,[pintor]
Vitória Lima,10/10/1965,376.984.210-31,[engenheiro civil]
Joana Pereira,04/02/1968,958.703.164-48,"[assistente administrativo, pedreiro, marceneiro]"
Júlia Gonçalves,06/08/1995,856.071.249-67,"[assistente administrativo, engenheiro civil]"
Sr. Breno da Rosa,17/03/1999,592.670.413-80,"[pedreiro, arquiteto, pintor]"
Sra. Clara Rezende,12/02/1993,531.824.790-32,"[assistente administrativo, marceneiro]"
Matheus Freitas,30/03/2003,916.532.407-25,"[pintor, carpinteiro, marceneiro]"
Luiz Felipe Sales,08/09/1957,461.037.259-25,"[engenheiro civil, marceneiro]"
Murilo Aragão,24/11/1973,097.213.864-13,"[encanador, pedreiro]"
Sr. Bernardo Ribeiro,22/12/1960,648.293.051-42,"[carpinteiro, eletricista]"
Mariana Barros,08/04/1981,478.650.239-10,"[técnico em segurança do trabalho, engenheiro civil]"
Enzo Gabriel Barros,18/03/1955,215.673.809-21,"[arquiteto, pedreiro]"
Thiago Moura,31/01/1991,094.685.713-00,"[assistente administrativo, pedreiro]"
Isaac Nascimento,13/11/1972,297.018.543-14,[encanador]
Lavínia Costa,03/01/1990,837.592.461-09,"[engenheiro civil, marceneiro]"
Bryan Ferreira,23/08/2006,415.987.036-84,[eletricista]
Enrico Alves,17/02/2000,376.190.248-40,[pedreiro]
Thales Ramos,04/02/1999,281.769.350-77,"[assistente administrativo, pedreiro, pintor]"
Caroline Campos,29/05/1973,624.970.135-43,"[marceneiro, encanador]"
Srta. Eduarda Aragão,11/11/1985,240.358.619-60,[eletricista]
Marcos Vinicius Cardoso,15/08/1978,632.849.701-69,"[pintor, eletricista]"
João Lucas Castro,05/11/1957,693.217.584-37,[assistente administrativo]
Maria Sales,17/10/1989,610.587.942-30,[assistente administrativo]
Murilo Fogaça,01/10/1970,189.274.356-64,"[técnico em segurança do trabalho, arquiteto]"
Enzo Gabriel Fogaça,13/03/1988,329.856.470-29,"[arquiteto, pedreiro, marceneiro]"
Diego Santos,03/03/2002,974.651.830-57,[marceneiro]
Diego Melo,24/06/1985,207.398.164-03,"[arquiteto, marceneiro]"
Renan Alves,04/12/1994,570.316.842-26,"[encanador, pintor, pedreiro]"
Nina Gonçalves,14/01/1970,892.610.457-58,[eletricista]
Luiza Monteiro,21/08/1991,479.230.615-99,"[pedreiro, marceneiro]"
Stephany Rocha,05/03/1962,480.136.952-98,"[arquiteto, engenheiro civil, assistente administrativo]"
Felipe Pinto,17/12/1978,319.750.268-02,"[pedreiro, assistente administrativo, arquiteto]"
Camila Ferreira,17/09/2000,596.432.708-74,"[eletricista, encanador]"
Manuela Mendes,04/03/1996,167.425.039-80,"[assistente administrativo, marceneiro]"
Bianca Rezende,02/11/2000,284.761.953-46,[pedreiro]
Gustavo Alves,21/05/1985,034.679.512-52,"[pedreiro, eletricista]"
Leandro Moraes,07/06/1999,094.125.683-98,"[marceneiro, pintor]"
Thomas da Paz,26/11/1983,914.803.256-51,"[engenheiro civil, técnico em segurança do trabalho]"
Juliana Castro,12/04/1972,492.837.160-78,"[encanador, engenheiro civil, técnico em segurança do trabalho]"
Daniel Peixoto,21/03/1992,348.027.956-29,[assistente administrativo]
Valentina Pinto,14/01/1961,287.594.613-73,"[carpinteiro, pedreiro]"
Letícia Peixoto,03/06/1982,708.639.125-59,"[encanador, pedreiro]"
Nathan Silva,22/11/1979,284.031.596-33,"[técnico em segurança do trabalho, pintor]"
Sophie Silveira,26/10/1985,019.257.634-80,"[encanador, assistente administrativo]"
Miguel Rocha,30/06/2001,501.946.823-15,"[pintor, engenheiro civil]"
Bianca Sales,14/10/1963,324.580.967-00,"[pintor, assistente administrativo]"
Bernardo Almeida,30/11/1964,918.760.345-48,"[pintor, eletricista]"
Ana Carolina Costa,29/11/1974,672.914.835-73,"[técnico em segurança do trabalho, engenheiro civil, pintor]"
Mariana Costa,04/12/1983,209.156.478-85,"[eletricista, pedreiro]"
Luana Gonçalves,14/03/1974,175.823.460-17,"[marceneiro, engenheiro civil]"
Kamilly Pereira,01/08/1964,047.983.621-31,"[arquiteto, assistente administrativo, carpinteiro]"
Pedro Pires,27/05/1957,527.938.061-02,"[técnico em segurança do trabalho, engenheiro civil, encanador]"
Lívia da Rocha,29/03/1978,861.759.234-64,"[marceneiro, pedreiro]"
Raquel Cunha,11/06/1973,461.853.970-48,"[técnico em segurança do trabalho, assistente administrativo, eletricista]"
Rafaela Santos,08/04/2007,842.579.631-82,[eletricista]
Augusto Araújo,16/05/2004,231.508.476-80,"[assistente administrativo, pedreiro, arquiteto]"
Srta. Ana Lívia da Luz,20/01/2004,691.042.835-89,[técnico em segurança do trabalho]
Sophie Moura,11/10/1995,025.973.468-38,"[técnico em segurança do trabalho, pedreiro, arquiteto]"
Fernando Rodrigues,10/04/1984,438.517.602-71,"[carpinteiro, pintor, marceneiro]"
Natália Castro,09/05/1968,029.834.715-60,[engenheiro civil]
Sabrina Souza,07/04/1988,397.425.108-14,"[pintor, assistente administrativo, carpinteiro]"
Marina Nascimento,29/04/1959,912.647.038-13,"[pedreiro, pintor, encanador]"
Benjamin Viana,08/01/1977,034.628.597-65,[carpinteiro]
Breno Teixeira,27/08/1993,384.970.521-88,[eletricista]
Pietro Araújo,12/09/1956,564.120.873-62,[arquiteto]
Ana Carolina Duarte,02/02/1988,105.834.629-60,"[arquiteto, encanador, engenheiro civil]"
Gabriel Barbosa,01/08/1961,073.528.419-97,"[pintor, pedreiro]"
Benício Araújo,23/02/2007,386.570.941-93,"[encanador, arquiteto]"
Pietra Costela,29/09/1983,682.039.714-31,[pintor]
Dr. Benício Duarte,17/04/1970,103.754.862-08,[técnico em segurança do trabalho]
Breno Caldeira,15/02/1963,724.085.136-26,[eletricista]
Julia Rocha,02/04/1999,198.247.365-73,"[marceneiro, encanador]"
Leonardo Jesus,22/06/1979,843.925.071-14,"[assistente administrativo, pintor, eletricista]"
Rafaela Rodrigues,17/07/1973,132.649.780-40,"[técnico em segurança do trabalho, engenheiro civil]"
João Lucas da Conceição,10/12/1956,378.069.512-02,"[técnico em segurança do trabalho, pintor, encanador]"
Joana Jesus,02/04/1960,046.397.815-39,[técnico em segurança do trabalho]
Emanuel Nascimento,19/01/1967,680.527.941-02,"[técnico em segurança do trabalho, pintor, marceneiro]"
Vitor Gabriel da Rosa,12/01/2006,056.739.421-25,"[carpinteiro, marceneiro]"
Dra. Esther Teixeira,16/01/1986,684.135.902-05,[pintor]
Rodrigo Freitas,28/04/1960,384.279.061-96,"[marceneiro, assistente administrativo, engenheiro civil]"
Dr. Rafael Fernandes,10/12/1998,901.246.587-76,"[assistente administrativo, arquiteto, encanador]"
Alexia Pires,08/02/1955,705.394.168-00,"[arquiteto, pedreiro]"
Ana Júlia Freitas,13/01/1996,851.372.496-37,"[engenheiro civil, pedreiro]"
Enzo da Luz,01/07/1964,903.856.127-02,"[assistente administrativo, encanador, pedreiro]"
Gabrielly Barbosa,29/02/1992,304.286.579-74,"[carpinteiro, engenheiro civil]"
